qID,questions,op1,op2,op3,op4,Correct Answer,option_number,difficulty,domain,subdomain
200,Which SQL keyword is used to remove duplicates from a result set?,REMOVE,UNIQUE,DISTINCT,EXCLUDE,DISTINCT,3,Easy,DBMS,SQL Basics
201,What is a database transaction?,A set of SQL operations executed as a single unit,An operation that retrieves data from a database,An operation that updates a single record,An operation that deletes data,A set of SQL operations executed as a single unit,1,Medium,DBMS,Transactions
202,Which type of SQL JOIN returns all records from both tables?,LEFT JOIN,RIGHT JOIN,INNER JOIN,FULL JOIN,FULL JOIN,4,Medium,DBMS,Joins
203,What is the purpose of the SQL GRANT command?,To provide user permissions,To remove user permissions,To create a new user,To modify existing records,To provide user permissions,1,Medium,DBMS,Security
204,Which command is used to modify an existing table structure?,UPDATE,ALTER,MODIFY,CHANGE,ALTER,2,Medium,DBMS,SQL Basics
205,What is the purpose of an entity-relationship diagram (ERD)?,To model database structure,To query a database,To execute a stored procedure,To back up data,To model database structure,1,Medium,DBMS,Database Design
206,What SQL keyword is used to specify the condition for a record to be updated?,SET,WHERE,UPDATE,ALTER,WHERE,2,Easy,DBMS,SQL Basics
207,What does SQL stand for?,Structured Query Language,Sequential Query Language,Simple Query Language,Standard Query Language,Structured Query Language,1,Easy,DBMS,SQL Basics
208,What is the main purpose of a database index?,To speed up queries,To create backups,To store large amounts of data,To modify records,To speed up queries,1,Medium,DBMS,Indexing
209,Which SQL command is used to remove a database?,DROP DATABASE,DELETE DATABASE,REMOVE DATABASE,CLEAR DATABASE,DROP DATABASE,1,Medium,DBMS,SQL Basics
210,What is a stored procedure?,A precompiled SQL statement,A runtime SQL statement,A temporary SQL statement,A new SQL query,A precompiled SQL statement,1,Medium,DBMS,Stored Procedures
211,Which SQL clause is used to filter records after grouping?,HAVING,WHERE,GROUP BY,ORDER BY,HAVING,1,Medium,DBMS,SQL Basics
212,What is the function of the SQL GROUP BY clause?,To group rows that have the same values in specified columns,To sort the result set,To filter records based on a condition,To perform a join operation,To group rows that have the same values in specified columns,1,Medium,DBMS,SQL Basics
213,Which of the following is not a type of database relationship?,One-to-One,One-to-Many,Many-to-Many,Many-to-Few,Many-to-Few,4,Medium,DBMS,Database Design
214,What does the SQL UPDATE statement do?,Modifies existing records,Deletes records,Inserts new records,Selects records,Modifies existing records,1,Easy,DBMS,SQL Basics
215,Which SQL function is used to find the total sum of a numeric column?,SUM(),TOTAL(),COUNT(),MAX(),SUM(),1,Easy,DBMS,SQL Functions
216,What is a normalization form?,A stage in database design,A query optimization technique,A type of database,An indexing method,A stage in database design,1,Medium,DBMS,Normalization
217,What does the SQL keyword INNER JOIN do?,Returns records with matching values in both tables,Returns all records from the left table,Returns all records from the right table,Returns all records,Returns records with matching values in both tables,1,Medium,DBMS,Joins
218,Which of the following is not a type of SQL constraint?,UNIQUE,PRIMARY,FOREIGN,DEFAULT,DEFAULT,4,Easy,DBMS,SQL Constraints
219,What is a database view?,A virtual table based on the result of a query,A physical table,A backup,An index,A virtual table based on the result of a query,1,Medium,DBMS,Views
220,Which SQL function returns the number of non-null values in a column?,COUNT(),SUM(),AVG(),MIN(),COUNT(),1,Easy,DBMS,SQL Functions
221,What is the purpose of the SQL ALTER command?,To remove a table,To create a new table,To modify the structure of a table,To query data,To modify the structure of a table,3,Medium,DBMS,SQL Basics
222,Which command is used to add a new row in a table?,INSERT INTO,UPDATE,ADD,CREATE,INSERT INTO,1,Easy,DBMS,SQL Basics
223,What is an example of a relational database?,MongoDB,MySQL,Redis,Neo4j,MySQL,2,Easy,DBMS,Database Models
224,What does the SQL keyword UNION do?,Combines the result sets of two or more queries,Filters records,Sorts results,Joins tables,Combines the result sets of two or more queries,1,Medium,DBMS,SQL Basics
225,Which type of SQL JOIN returns only unmatched records from the right table?,LEFT JOIN,RIGHT JOIN,INNER JOIN,FULL JOIN,RIGHT JOIN,2,Medium,DBMS,Joins
226,What is a database schema?,The design of a database,The data stored in a database,A query language,An indexing method,The design of a database,1,Medium,DBMS,Database Design
227,What SQL function is used to find the smallest value in a column?,MIN(),MAX(),SUM(),AVG(),MIN(),1,Easy,DBMS,SQL Functions
228,Which of the following is a NoSQL database?,Oracle,PostgreSQL,MongoDB,SQL Server,MongoDB,3,Easy,DBMS,Database Models
229,What is the purpose of a primary key in a table?,To uniquely identify each record,To define relationships between tables,To enforce data types,To index columns,To uniquely identify each record,1,Easy,DBMS,Keys
230,What does the SQL keyword WHERE do?,Joins tables,Sorts results,Groups records,Filters records based on a condition,Filters records based on a condition,4,Easy,DBMS,SQL Basics
231,What is a schema in a database?,The structure of the database tables,The data in a table,The SQL queries,The backup process,The structure of the database tables,1,Medium,DBMS,Database Design
232,What does the SQL command DROP TABLE do?,Deletes a table and its data,Removes all records from a table,Modifies a table structure,Creates a new table,Deletes a table and its data,1,Medium,DBMS,SQL Basics
233,Which of the following is used to limit the number of rows returned by a query?,TOP,MAX,LIMIT,ROWNUM,LIMIT,3,Medium,DBMS,SQL Basics
234,What is the purpose of the SQL DELETE command?,To remove a table,To remove records from a table,To modify records,To create a new record,To remove records from a table,2,Easy,DBMS,SQL Basics
235,What does the SQL keyword SELECT do?,Retrieves data from a database,Updates data,Deletes data,Creates tables,Retrieves data from a database,1,Easy,DBMS,SQL Basics
236,What is a data dictionary?,A database that stores metadata,A database that stores user data,A query language,A backup tool,A database that stores metadata,1,Medium,DBMS,Database Design
237,Which SQL function is used to get the current date?,GETDATE(),CURRENT_DATE(),NOW(),TODAY(),CURRENT_DATE(),2,Easy,DBMS,SQL Functions
238,What is the purpose of normalization?,To reduce data redundancy and improve data integrity,To speed up queries,To store large amounts of data,To increase security,To reduce data redundancy and improve data integrity,1,Medium,DBMS,Normalization
239,What is the purpose of the SQL SELECT statement?,To insert data into a database,To query data from a database,To update existing data,To delete data,To query data from a database,2,Easy,DBMS,SQL Basics
240,What is a transaction log?,An index of database tables,A backup of the database,The structure of database tables,A record of all transactions made by the database,A record of all transactions made by the database,4,Medium,DBMS,Transactions
241,Which SQL command is used to create an index?,CREATE INDEX,ADD INDEX,INSERT INDEX,MODIFY INDEX,CREATE INDEX,1,Medium,DBMS,Indexing
242,What does the SQL keyword LEFT JOIN do?,Returns all records from the right table and matched records from the left table,Returns records with matching values in both tables,Returns all records from the left table and matched records from the right table,Returns unmatched records from both tables,Returns all records from the left table and matched records from the right table,3,Medium,DBMS,Joins
243,What is a data warehouse?,A system used for reporting and data analysis,The main database of an application,The system for managing transactions,The database used for real-time processing,A system used for reporting and data analysis,1,Hard,DBMS,Database Models
244,What is a one-to-many relationship in a database?,Where multiple records in one table are related to one record in another table,A relationship where one record in one table is related to multiple records in another table,Where multiple records in both tables are related to each other,Where one record in a table is related to one record in another table,A relationship where one record in one table is related to multiple records in another table,2,Medium,DBMS,Database Design
245,Which SQL keyword is used to modify existing data in a table?,UPDATE,INSERT,ALTER,DELETE,UPDATE,1,Easy,DBMS,SQL Basics
246,What is the purpose of the SQL ALTER TABLE command?,To change the structure of an existing table,To insert new records,To delete a table,To create a new table,To change the structure of an existing table,1,Medium,DBMS,SQL Basics
247,Which of the following SQL functions is used to concatenate strings?,CONCAT(),JOIN(),MERGE(),COMBINE(),CONCAT(),1,Easy,DBMS,SQL Functions
248,What does the SQL keyword HAVING do?,Filters records before aggregation,Groups records,Filters records after aggregation,Joins tables,Filters records after aggregation,3,Medium,DBMS,SQL Basics
249,Which SQL command is used to create a new user?,ADD USER,INSERT USER,NEW USER,CREATE USER,CREATE USER,4,Medium,DBMS,Security
250,What is a data model?,A conceptual framework for organizing data,An actual database structure,A query optimization technique,An indexing method,A conceptual framework for organizing data,1,Medium,DBMS,Database Design
251,Which SQL function returns the current system date and time?,CURRENT_TIMESTAMP(),GETDATE(),NOW(),DATE(),CURRENT_TIMESTAMP(),1,Medium,DBMS,SQL Functions
252,What is a non-relational database?,An SQL database,A database that does not use SQL,A database with relations between tables,A backup database,A database that does not use SQL,2,Medium,DBMS,Database Models
253,What does the SQL keyword RIGHT JOIN do?,Returns all records from the left table and matched records from the right table,Returns all records from the right table and matched records from the left table,Returns records with matching values in both tables,Returns unmatched records from both tables,Returns all records from the right table and matched records from the left table,2,Medium,DBMS,Joins
254,What is an example of an aggregate function?,COUNT(),CONCAT(),JOIN(),INSERT(),COUNT(),1,Easy,DBMS,SQL Functions
255,Which SQL command is used to grant privileges to a user?,GRANT,ALLOW,PERMIT,ACCESS,GRANT,1,Medium,DBMS,Security
256,What does the SQL keyword ORDER BY do?,Groups records based on a condition,Filters records based on a condition,Joins tables,Sorts the result set based on one or more columns,Sorts the result set based on one or more columns,4,Easy,DBMS,SQL Basics
257,What is the function of the SQL LIMIT clause?,Specifies a column to be indexed,Filters records based on a condition,Limits the number of rows returned by a query,Sorts results,Limits the number of rows returned by a query,3,Medium,DBMS,SQL Basics
258,What does the SQL keyword SELECT DISTINCT do?,Returns all records,Returns unique records only,Sorts the results,Groups records,Returns unique records only,2,Medium,DBMS,SQL Basics
259,What is the purpose of a backup in a database?,To ensure data can be restored in case of loss,To speed up queries,To modify records,To index tables,To ensure data can be restored in case of loss,1,Medium,DBMS,Backup & Recovery
260,Which of the following is not a type of database normalization?,1NF,2NF,5NF,4NF,5NF,3,Medium,DBMS,Normalization
261,What is the purpose of the SQL INSERT INTO command?,To add new records to a table,To update existing records,To delete records,To create a new table,To add new records to a table,1,Easy,DBMS,SQL Basics
262,What is the purpose of a database relationship?,To define how tables are related,To store data in a table,To execute queries,To index columns,To define how tables are related,1,Medium,DBMS,Database Design
263,Which SQL keyword is used to specify the database to use?,USE,SELECT,FROM,WHERE,USE,1,Easy,DBMS,SQL Basics
264,What is a relational database?,A database that uses tables to store data,An unstructured database,An index-based database,A database with no relationships,A database that uses tables to store data,1,Easy,DBMS,Database Models
265,Which SQL function is used to get the total number of rows in a table?,COUNT(),SUM(),TOTAL(),MAX(),COUNT(),1,Easy,DBMS,SQL Functions
266,What is the purpose of SQL JOIN?,To combine rows from two or more tables based on a related column,To filter records,To sort records,To group rows,To combine rows from two or more tables based on a related column,1,Medium,DBMS,Joins
267,What does the SQL keyword CROSS JOIN do?,Returns the Cartesian product of two tables,Joins tables based on a related column,Filters records,Returns records with matching values in both tables,Returns the Cartesian product of two tables,1,Medium,DBMS,Joins
268,What is the function of a database trigger?,To automatically execute a predefined action when a specified event occurs,To manually update records,To create a new table,To perform a query,To automatically execute a predefined action when a specified event occurs,1,Hard,DBMS,Stored Procedures
269,Which SQL command is used to create a new table?,CREATE TABLE,NEW TABLE,ADD TABLE,INSERT TABLE,CREATE TABLE,1,Easy,DBMS,SQL Basics
270,What is the function of the SQL DELETE command?,To remove records from a table,To remove a table from the database,To update records,To create a new table,To remove records from a table,1,Easy,DBMS,SQL Basics
271,What does the SQL function REPLACE do?,Replaces occurrences of a specified substring with another substring,Concatenates strings,Finds the length of a string,Counts occurrences of a substring,Replaces occurrences of a specified substring with another substring,1,Medium,DBMS,SQL Functions
272,Which of the following is not a type of SQL JOIN?,FULL JOIN,LEFT JOIN,RIGHT JOIN,PARTIAL JOIN,PARTIAL JOIN,4,Medium,DBMS,Joins
273,What is the purpose of an SQL view?,To present data in a virtual table based on a query,To store data permanently,To create backups,To modify table structure,To present data in a virtual table based on a query,1,Medium,DBMS,Views
274,Which SQL function is used to round a numeric value to the nearest integer?,ROUND(),FLOOR(),CEILING(),TRUNCATE(),ROUND(),1,Easy,DBMS,SQL Functions
275,What does the SQL function SUBSTRING do?,Counts the number of characters in a string,Replaces part of a string,Extracts a part of a string,Concatenates two strings,Extracts a part of a string,3,Medium,DBMS,SQL Functions
276,Which SQL keyword is used to provide access permissions to users?,GRANT,ALLOW,PERMIT,ACCESS,GRANT,1,Medium,DBMS,Security
277,What is an SQL schema?,The data contained in a table,"A collection of database objects including tables, views, and indexes",An SQL query,An index structure,"A collection of database objects including tables, views, and indexes",2,Medium,DBMS,Database Design
278,What does the SQL command TRUNCATE TABLE do?,Removes all rows from a table without logging individual row deletions,Removes a table from the database,Updates all rows in a table,Creates a new table,Removes all rows from a table without logging individual row deletions,1,Medium,DBMS,SQL Basics
279,Which SQL function returns the length of a string?,SIZE(),COUNT(),CHAR_LENGTH(),LENGTH(),LENGTH(),4,Easy,DBMS,SQL Functions
280,What is the purpose of the SQL UPDATE command?,To remove records from a table,To create new records,To modify existing records in a table,To delete a table,To modify existing records in a table,3,Easy,DBMS,SQL Basics
281,What is a foreign key constraint?,A rule to enforce a link between records in different tables,An indexing method,An SQL command to delete records,An SQL function to count rows,A rule to enforce a link between records in different tables,1,Medium,DBMS,Keys
282,Which SQL command is used to remove all records from a table?,TRUNCATE TABLE,DELETE TABLE,DROP TABLE,CLEAR TABLE,TRUNCATE TABLE,1,Medium,DBMS,SQL Basics
283,What does the SQL keyword DISTINCT do?,Filters records based on a condition,Removes duplicate records from the result set,Joins tables,Groups records,Removes duplicate records from the result set,2,Medium,DBMS,SQL Basics
284,What is a database index?,A structure that improves the speed of data retrieval,An SQL query,The physical storage of data,The process of removing data,A structure that improves the speed of data retrieval,1,Medium,DBMS,Indexing
285,What is the purpose of the SQL ORDER BY clause?,To filter records,To group records,To sort the result set based on one or more columns,To join tables,To sort the result set based on one or more columns,3,Easy,DBMS,SQL Basics
286,Which of the following SQL commands is used to delete a database?,DELETE DATABASE,DROP DATABASE,REMOVE DATABASE,CLEAR DATABASE,DROP DATABASE,2,Medium,DBMS,SQL Basics
287,What is the purpose of an SQL aggregate function?,To perform a calculation on a set of values and return a single value,To filter records,To join tables,To update records,To perform a calculation on a set of values and return a single value,1,Medium,DBMS,SQL Functions
288,Which SQL keyword is used to create a new index on a table?,CREATE INDEX,ADD INDEX,INSERT INDEX,NEW INDEX,CREATE INDEX,1,Medium,DBMS,Indexing
289,What is an example of a non-relational database?,MySQL,PostgreSQL,MongoDB,Oracle,MongoDB,3,Medium,DBMS,Database Models
290,Which SQL function calculates the average value of a numeric column?,AVG(),SUM(),COUNT(),MEDIAN(),AVG(),1,Easy,DBMS,SQL Functions
291,What does the SQL function UPPER do?,Converts all characters in a string to uppercase,Converts all characters to lowercase,Replaces characters in a string,Counts the number of characters in a string,Converts all characters in a string to uppercase,1,Medium,DBMS,SQL Functions
292,Which SQL keyword is used to specify the column(s) to be retrieved in a query?,FROM,SELECT,WHERE,ORDER,SELECT,2,Easy,DBMS,SQL Basics
293,What is a one-to-many relationship in a database?,A relationship where one record in one table is related to multiple records in another table,Where multiple records in one table are related to one record in another table,Where multiple records in both tables are related to each other,Where one record in a table is related to one record in another table,A relationship where one record in one table is related to multiple records in another table,1,Medium,DBMS,Database Design
294,What is the function of the SQL GROUP BY clause?,To group rows that have the same values in specified columns,To sort records,To filter records,To join tables,To group rows that have the same values in specified columns,1,Medium,DBMS,SQL Basics
295,Which SQL command is used to modify an existing column in a table?,ALTER TABLE,MODIFY TABLE,UPDATE TABLE,CHANGE TABLE,ALTER TABLE,1,Medium,DBMS,SQL Basics
296,What is a database transaction?,An operation that retrieves data from the database,An operation that updates a single record,An operation that deletes records,A sequence of operations performed as a single unit,A sequence of operations performed as a single unit,4,Medium,DBMS,Transactions
297,What does the SQL keyword RIGHT JOIN do?,Returns all records from the right table and matched records from the left table,Returns all records from the left table and matched records from the right table,Returns records with matching values in both tables,Returns unmatched records from both tables,Returns all records from the right table and matched records from the left table,1,Medium,DBMS,Joins
298,Which of the following SQL statements will not modify data?,DELETE FROM table_name,INSERT INTO table_name (column_name) VALUES (value),UPDATE table_name SET column_name = value,SELECT * FROM table_name,SELECT * FROM table_name,4,Medium,DBMS,SQL Basics
299,What is a composite key?,An index key,An automatically generated key,An external key,A key that consists of two or more columns,A key that consists of two or more columns,4,Medium,DBMS,Keys
300,Which SQL function returns the maximum value from a set of values?,MIN(),MAX(),SUM(),AVG(),MAX(),2,Easy,DBMS,SQL Functions
301,What is the purpose of the SQL TRUNCATE TABLE command?,To delete the table structure,To create a new table,To remove all rows from a table quickly,To add new rows,To remove all rows from a table quickly,3,Medium,DBMS,SQL Basics
302,What does the SQL keyword LEFT JOIN do?,Returns all records from the right table and matched records from the left table,Returns all records from the left table and matched records from the right table,Returns records with matching values in both tables,Returns unmatched records from both tables,Returns all records from the left table and matched records from the right table,2,Medium,DBMS,Joins
303,What is the purpose of an SQL view?,To store data permanently,To present data in a virtual table based on a query,To back up data,To modify table structure,To present data in a virtual table based on a query,2,Medium,DBMS,Views
304,What is the function of the SQL ROUND() function?,To find the smallest value in a set,To concatenate strings,To round a numeric value to the nearest whole number,To count the number of records,To round a numeric value to the nearest whole number,3,Medium,DBMS,SQL Functions
305,Which SQL keyword is used to ensure that a column cannot have NULL values?,NOT NULL,UNIQUE,PRIMARY KEY,DEFAULT,NOT NULL,1,Easy,DBMS,SQL Constraints
306,What is the purpose of the SQL UPDATE command?,To modify existing data in a table,To insert new data into a table,To delete data from a table,To create a new table,To modify existing data in a table,1,Easy,DBMS,SQL Basics
307,Which SQL function returns the total number of rows in a table?,COUNT(),SUM(),AVG(),TOTAL(),COUNT(),1,Easy,DBMS,SQL Functions
308,What is a foreign key?,An index on a table,The primary key of a table,An SQL function,A column or set of columns used to establish a link between records in different tables,A column or set of columns used to establish a link between records in different tables,4,Medium,DBMS,Keys
309,What does the SQL function CONCAT() do?,Concatenates two or more strings into one,Calculates the sum of a numeric column,Finds the average value of a column,Counts the number of rows in a table,Concatenates two or more strings into one,1,Easy,DBMS,SQL Functions
310,Which of the following is a type of SQL constraint?,PRIMARY KEY,UNIQUE,FOREIGN KEY,All of the above,All of the above,4,Easy,DBMS,SQL Constraints
311,What is the purpose of an SQL trigger?,To automatically perform a specific action in response to an event,To manually update data,To create a backup of the database,To join tables,To automatically perform a specific action in response to an event,1,Hard,DBMS,Stored Procedures
312,Which SQL function is used to get the current time?,CURRENT_TIME(),NOW(),CURRENT_DATE(),GET_TIME(),NOW(),2,Medium,DBMS,SQL Functions
313,What is the purpose of the SQL LIMIT clause?,To limit the number of rows returned by a query,To filter records based on a condition,To sort the results,To group records,To limit the number of rows returned by a query,1,Medium,DBMS,SQL Basics
314,What does the SQL function SUBSTRING() do?,Extracts a portion of a string based on specified start and length,Counts the number of characters in a string,Replaces a part of a string,Concatenates two strings,Extracts a portion of a string based on specified start and length,1,Medium,DBMS,SQL Functions
315,Which SQL command is used to change a table's column data type?,ALTER TABLE,MODIFY TABLE,CHANGE COLUMN,UPDATE TABLE,ALTER TABLE,1,Medium,DBMS,SQL Basics
316,What is a stored procedure in SQL?,A data retrieval method,A type of index for optimizing queries,A backup mechanism for the database,A set of SQL statements that can be executed as a unit,A set of SQL statements that can be executed as a unit,4,Hard,DBMS,Stored Procedures
